Prob.,Approach,Sols,StartC,InvC,CT,Bias,ViolQ,MQuQ,TQ,ALQ,PAQ,P1T(s),VT(s),MQuT(s),TT(s),ALT(s),PAT(s),precision,recall,s_precision,s_recall
Sudoku-GT,COP,20,32,5,37,1049,37,114,151,N/A,N/A,3.82,303.01,4.33,311.16,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,5,35,8,37,2443,37,408,445,N/A,N/A,2.61,310.33,8.74,321.68,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,2,44,17,37,5756,37,168,205,N/A,N/A,2.4,310.55,7.87,320.82,N/A,N/A,0.0,0.0,0.0,0.0
Sudoku-GT,COP,200,28,1,37,830,37,1,38,N/A,N/A,146.53,299.71,0.01,446.25,N/A,N/A,0.0,0.0,0.0,0.0
